problem;trial;r2_train;r2_test;seed
1030_ERA;1;0.3634042863512611;0.46494741495215075;29802
1030_ERA;2;0.37653035059877216;0.4297029880473384;22118
1030_ERA;3;0.38438289967472217;0.42137541400354084;860
1030_ERA;4;0.38808681076343743;0.38659837762944405;15795
1030_ERA;5;0.38917159475429575;0.3964867576007236;21575
1030_ERA;6;0.39550217976484026;0.3631139324474255;5390
1030_ERA;7;0.3955586213104496;0.37355097947392624;11964
1030_ERA;8;0.4050295021343415;0.3469670781197486;6265
1030_ERA;9;0.4011884785657487;0.3585688050932099;23654
1030_ERA;10;0.40403558872328615;0.3037834865837007;11284
