problem;trial;r2_train;r2_test;seed
1089_USCrime;1;0.9560274649316473;0.7534298691060068;29802
1089_USCrime;2;0.9693582011555982;0.8568143526042395;22118
1089_USCrime;3;0.956919960354414;0.565820103134745;860
1089_USCrime;4;0.9636573291802205;0.7167797850203366;15795
1089_USCrime;5;0.9647429212730817;0.890348584522086;21575
1089_USCrime;6;0.9519940138284154;0.794866576038383;5390
1089_USCrime;7;0.9644255328084734;0.6411653693736279;11964
1089_USCrime;8;0.9778683328582554;0.5254743159207195;6265
1089_USCrime;9;0.9736848350016596;0.59772044787141;23654
1089_USCrime;10;0.9590268040831589;0.7066007553479171;11284
