problem;trial;r2_train;r2_test;seed
197_cpu_act;1;0.9501349632229789;0.9548839037182362;29802
197_cpu_act;2;0.9541405925500182;0.9530912882033554;22118
197_cpu_act;3;0.9436653440388892;0.9425284621930106;860
197_cpu_act;4;0.9570793554999732;0.956981960061938;15795
197_cpu_act;5;0.9491407399487235;0.9506756469911515;21575
197_cpu_act;6;0.942816889061114;0.9447827581215709;5390
197_cpu_act;7;0.9591337060313476;0.9470346601644214;11964
197_cpu_act;8;0.9385509170125149;0.9427673494330056;6265
197_cpu_act;9;0.9454036844475383;0.9432610104038887;23654
197_cpu_act;10;0.9380727299038235;0.9254685859167296;11284
