problem;trial;r2_train;r2_test;seed
225_puma8NH;1;0.6739642075411374;0.6654427143229324;29802
225_puma8NH;2;0.6729315904213492;0.6911847807152862;22118
225_puma8NH;3;0.679309143573755;0.6872926941982471;860
225_puma8NH;4;0.6624580941763337;0.6578770558609357;15795
225_puma8NH;5;0.629980235121984;0.6427762819739213;21575
225_puma8NH;6;0.6752309537512162;0.6959446638200384;5390
225_puma8NH;7;0.6705610238920834;0.6729208413137082;11964
225_puma8NH;8;0.6789976895262511;0.6729569166832152;6265
225_puma8NH;9;0.6685400746413999;0.6600224288697472;23654
225_puma8NH;10;0.6861488829778175;0.672096046174;11284
