problem;trial;r2_train;r2_test;seed
227_cpu_small;1;0.945252823928643;0.9440635546450343;29802
227_cpu_small;2;0.9515114355216885;0.9480846693003551;22118
227_cpu_small;3;0.952823616277195;0.9547821120976716;860
227_cpu_small;4;0.9554790149278444;0.9549160975270103;15795
227_cpu_small;5;0.9436304144918323;0.9451512486772164;21575
227_cpu_small;6;0.9477628173609821;0.9559525635450699;5390
227_cpu_small;7;0.9534357874278218;0.944271421465898;11964
227_cpu_small;8;0.948649447438599;0.9505247578732451;6265
227_cpu_small;9;0.9499609847665302;0.9459358023283594;23654
227_cpu_small;10;0.9468403156725634;0.9376305745575908;11284
