problem;trial;r2_train;r2_test;seed
505_tecator;1;0.9849938221793044;0.9803652521254637;29802
505_tecator;2;0.990004284769098;0.9888041303189906;22118
505_tecator;3;0.9902269636924029;0.9866341562089298;860
505_tecator;4;0.9865817685899063;0.9733492090347696;15795
505_tecator;5;0.9887795738732813;0.989508930282217;21575
505_tecator;6;0.9894117710247426;0.9863916793707818;5390
505_tecator;7;0.9872229988082978;0.9942715264668989;11964
505_tecator;8;0.9901984415483525;0.9842971036872235;6265
505_tecator;9;0.9895442137320712;0.9896293180751041;23654
505_tecator;10;0.9888637415995593;0.989924123860705;11284
