problem;trial;r2_train;r2_test;seed
522_pm10;1;0.3831422406947588;0.13292949472520776;29802
522_pm10;2;0.3728864510567149;0.27943876784589217;22118
522_pm10;3;0.412887093422574;0.2949216336882623;860
522_pm10;4;0.4314842290266989;0.2190074180671756;15795
522_pm10;5;0.4042125103884816;0.09279750995094649;21575
522_pm10;6;0.3855760918540405;0.20576838411889553;5390
522_pm10;7;0.3633425947968075;0.22175040640141763;11964
522_pm10;8;0.3592317798621496;0.11370199799354463;6265
522_pm10;9;0.35797737247100003;0.20143517725226812;23654
522_pm10;10;0.3465106690052371;0.18577198379397875;11284
