problem;trial;r2_train;r2_test;seed
523_analcatdata_neavote;1;0.9582300334612134;0.9386714303759216;29802
523_analcatdata_neavote;2;0.9638237885042875;0.9152095577025342;22118
523_analcatdata_neavote;3;0.9637411693056734;0.9113743392114462;860
523_analcatdata_neavote;4;0.9536128203238623;0.9484574869920743;15795
523_analcatdata_neavote;5;0.9528400818699697;0.9555480753161442;21575
523_analcatdata_neavote;6;0.9469477274013106;0.9694100916316685;5390
523_analcatdata_neavote;7;0.9656529293299565;0.9032444495722483;11964
523_analcatdata_neavote;8;0.9475894369194252;0.8977943324063037;6265
523_analcatdata_neavote;9;0.9534332217559968;0.9511202894358158;23654
523_analcatdata_neavote;10;0.9466394799975569;0.9749431974558286;11284
