problem;trial;r2_train;r2_test;seed
529_pollen;1;0.7936416714066329;0.7762755533706269;29802
529_pollen;2;0.796441760348724;0.785822276260983;22118
529_pollen;3;0.7991947939416362;0.7785509246582917;860
529_pollen;4;0.7932467920271663;0.7961042759808408;15795
529_pollen;5;0.7842935305604609;0.8036993537176774;21575
529_pollen;6;0.7939167974013728;0.7750304204729883;5390
529_pollen;7;0.7986415668983129;0.7788932490920035;11964
529_pollen;8;0.7929956829937825;0.7969014129131707;6265
529_pollen;9;0.7930964536245204;0.7764647903980023;23654
529_pollen;10;0.7903534660577021;0.8044480932738134;11284
