problem;trial;r2_train;r2_test;seed
547_no2;1;0.6059180813235618;0.4222362093327596;29802
547_no2;2;0.6180234650616985;0.4565367574518041;22118
547_no2;3;0.6119972932644904;0.5294364300620236;860
547_no2;4;0.6383830412838505;0.44305952578695385;15795
547_no2;5;0.5669271724505202;0.5983472858624419;21575
547_no2;6;0.6295008087409713;0.4208286934899669;5390
547_no2;7;0.6323181049017172;0.3657373229726604;11964
547_no2;8;0.585193240182996;0.5808025507583374;6265
547_no2;9;0.585658173076061;0.5544539055988045;23654
547_no2;10;0.6169308442617647;0.4715628916202377;11284
