problem;trial;r2_train;r2_test;seed
557_analcatdata_apnea1;1;0.865490816112154;0.917797881729553;29802
557_analcatdata_apnea1;2;0.8821681960599573;0.8771803641403154;22118
557_analcatdata_apnea1;3;0.8803424207986585;0.9035750235863638;860
557_analcatdata_apnea1;4;0.8776269755093449;0.8626429889137452;15795
557_analcatdata_apnea1;5;0.8997354066843934;0.7773038621276183;21575
557_analcatdata_apnea1;6;0.8805664426309493;0.4580999368021972;5390
557_analcatdata_apnea1;7;0.8901225425910771;0.9141606289682597;11964
557_analcatdata_apnea1;8;0.9029190718652337;0.8261959001534491;6265
557_analcatdata_apnea1;9;0.8905708265121858;0.7596024927330874;23654
557_analcatdata_apnea1;10;0.8923948014357753;0.8567071664728939;11284
