problem;trial;r2_train;r2_test;seed
561_cpu;1;0.988018176982231;0.9821559499073759;29802
561_cpu;2;0.9915738223269125;0.9591677711470743;22118
561_cpu;3;0.9916534658031761;0.9321063903926404;860
561_cpu;4;0.9874596166089713;0.97085210388977;15795
561_cpu;5;0.9884709523504881;0.9593766631203098;21575
561_cpu;6;0.9864699930938015;0.954471133561262;5390
561_cpu;7;0.9927594900110681;0.9783473936854229;11964
561_cpu;8;0.9932630658395669;0.8628640915315068;6265
561_cpu;9;0.9871963852486157;0.9304359653956449;23654
561_cpu;10;0.9882365599521847;0.9933351903124954;11284
