problem;trial;r2_train;r2_test;seed
666_rmftsa_ladata;1;0.6383021181765729;0.7666626611572139;29802
666_rmftsa_ladata;2;0.7006585750304642;0.6283535490435306;22118
666_rmftsa_ladata;3;0.6951754982021376;0.6340332139987159;860
666_rmftsa_ladata;4;0.6660175992159459;0.7889454410156658;15795
666_rmftsa_ladata;5;0.6907541907501209;0.6326261513542346;21575
666_rmftsa_ladata;6;0.6980520130562237;0.7077532470849002;5390
666_rmftsa_ladata;7;0.6939488855128524;0.5938368125539686;11964
666_rmftsa_ladata;8;0.6898776543399607;0.6779023450920092;6265
666_rmftsa_ladata;9;0.7231077495809539;0.6391612074365838;23654
666_rmftsa_ladata;10;0.7013741812860388;0.524827847699881;11284
