problem;trial;r2_train;r2_test;seed
687_sleuth_ex1605;1;0.8440227723937603;-0.5029616037902422;29802
687_sleuth_ex1605;2;0.8087565066730217;0.3324095919796862;22118
687_sleuth_ex1605;3;0.8367256387979327;-0.765854478609838;860
687_sleuth_ex1605;4;0.8916220194637932;0.1973070297527566;15795
687_sleuth_ex1605;5;0.8269594542326857;0.388309228117954;21575
687_sleuth_ex1605;6;0.8374969418411633;0.03376980126050977;5390
687_sleuth_ex1605;7;0.8178186622445434;0.5532794728366659;11964
687_sleuth_ex1605;8;0.8441700442288904;0.22643409952994242;6265
687_sleuth_ex1605;9;0.82780641551969;0.2781462462971903;23654
687_sleuth_ex1605;10;0.8365472807209064;0.5047319792950413;11284
