problem;trial;r2_train;r2_test;seed
690_visualizing_galaxy;1;0.9599024480335561;0.9644674407185323;29802
690_visualizing_galaxy;2;0.9684304798316039;0.9513042186390733;22118
690_visualizing_galaxy;3;0.9723687540923115;0.9593230555260845;860
690_visualizing_galaxy;4;0.9721445323103012;0.9438946783513269;15795
690_visualizing_galaxy;5;0.9683111226494179;0.9577552155376061;21575
690_visualizing_galaxy;6;0.9628681402017482;0.969910363322565;5390
690_visualizing_galaxy;7;0.9694339423965034;0.9675527450179282;11964
690_visualizing_galaxy;8;0.9678802529346736;0.9591759422278608;6265
690_visualizing_galaxy;9;0.972463892876953;0.9642712147738299;23654
690_visualizing_galaxy;10;0.9702442815007138;0.9624784391555712;11284
