problem;trial;r2_train;r2_test;seed
695_chatfield_4;1;0.887316505349044;0.8911938819840798;29802
695_chatfield_4;2;0.8895284557843308;0.8946494310608272;22118
695_chatfield_4;3;0.8924338817840333;0.8467597781024898;860
695_chatfield_4;4;0.9088839482374385;0.8027763528562499;15795
695_chatfield_4;5;0.8863108003259863;0.8331991913000533;21575
695_chatfield_4;6;0.8871659711331542;0.8209785889273546;5390
695_chatfield_4;7;0.9023140797202078;0.8235088034106616;11964
695_chatfield_4;8;0.8936701873390301;0.8346781456386675;6265
695_chatfield_4;9;0.9043939723223083;0.8306495749959159;23654
695_chatfield_4;10;0.8662836355040175;0.9232854883896718;11284
