problem;trial;r2_train;r2_test;seed
706_sleuth_case1202;1;0.8924075511159583;0.6653977066266514;29802
706_sleuth_case1202;2;0.9003289924541504;0.08431009897866315;22118
706_sleuth_case1202;3;0.8682974995780238;0.4519104376068942;860
706_sleuth_case1202;4;0.8540123042356046;0.7375067626166283;15795
706_sleuth_case1202;5;0.8773275502254275;0.3959323951750642;21575
706_sleuth_case1202;6;0.8906040855073943;0.4420788697483907;5390
706_sleuth_case1202;7;0.8912451917036734;-0.06360931582402363;11964
706_sleuth_case1202;8;0.8960433495969418;0.4709615883237034;6265
706_sleuth_case1202;9;0.882204717503202;0.4849196814655248;23654
706_sleuth_case1202;10;0.8540105375456282;0.7347537007860516;11284
