problem;trial;r2_train;r2_test;seed;best_model
Nguyen-2;1;1.0;1.0;29802;x*(x + 1)*(x**2 + 1)
Nguyen-2;2;1.0;1.0;22118;x*(x + 1)*(x**2 + 1)
Nguyen-2;3;1.0;1.0;860;x*(x*(x*(x + 1) + 1) + 1)
Nguyen-2;4;1.0;1.0;15795;x*(x*(x*(x + 1) + 1) + 1)
Nguyen-2;5;1.0;1.0;21575;x*(x*(x**2 + x + 1) + 1)
Nguyen-2;6;1.0;1.0;5390;x*(x*(x*(x + 1) + 1) + 1)
Nguyen-2;7;1.0;1.0;11964;x*(x*(x**2 + x + 1) + 1)
Nguyen-2;8;1.0;1.0;6265;x*(x**2*(x + 1) + x + 1)
Nguyen-2;9;1.0;1.0;23654;x*(x*(x*(x + 1) + 1) + 1)
Nguyen-2;10;1.0;1.0;11284;x*(x*(x*(x + 1) + 1) + 1)
