dataset,trial,r2_train,r2_zero_test,seed,algorithm
678_visualizing_environmental,1,0.6150363668422194,-0.3897206430504316,29802,AlpineGP
678_visualizing_environmental,2,0.556928552310522,0.2940448675727132,22118,AlpineGP
678_visualizing_environmental,3,0.5827765948920208,0.1471888890083975,860,AlpineGP
678_visualizing_environmental,4,0.6060102670081451,0.290096350001408,15795,AlpineGP
678_visualizing_environmental,5,0.5743394551234959,-0.1995998806569918,21575,AlpineGP
678_visualizing_environmental,6,0.6127655950501847,-0.9039497801164584,5390,AlpineGP
678_visualizing_environmental,7,0.5878675292425309,-0.0778471568566632,11964,AlpineGP
678_visualizing_environmental,8,0.5663794587981827,0.1440437196220981,6265,AlpineGP
678_visualizing_environmental,9,0.5626716558017201,-0.7997216683690631,23654,AlpineGP
678_visualizing_environmental,10,0.5190289363471154,0.2265678993004022,11284,AlpineGP
706_sleuth_case1202,1,0.8924075511159583,0.6653977066266514,29802,AlpineGP
706_sleuth_case1202,2,0.9003289924541504,0.0843100989786631,22118,AlpineGP
706_sleuth_case1202,3,0.8682974995780238,0.4519104376068942,860,AlpineGP
706_sleuth_case1202,4,0.8540123042356046,0.7375067626166283,15795,AlpineGP
706_sleuth_case1202,5,0.8773275502254275,0.3959323951750642,21575,AlpineGP
706_sleuth_case1202,6,0.8906040855073943,0.4420788697483907,5390,AlpineGP
706_sleuth_case1202,7,0.8912451917036734,-0.0636093158240236,11964,AlpineGP
706_sleuth_case1202,8,0.8960433495969418,0.4709615883237034,6265,AlpineGP
706_sleuth_case1202,9,0.882204717503202,0.4849196814655248,23654,AlpineGP
706_sleuth_case1202,10,0.8540105375456282,0.7347537007860516,11284,AlpineGP
695_chatfield_4,1,0.8872629785682211,0.8721659208741159,29802,AlpineGP
695_chatfield_4,2,0.8883654429420512,0.8490596857783306,22118,AlpineGP
695_chatfield_4,3,0.8898093898017562,0.8757446148520541,860,AlpineGP
695_chatfield_4,4,0.9090961388430924,0.8223124871365941,15795,AlpineGP
695_chatfield_4,5,0.8979353733863021,0.8473631597980578,21575,AlpineGP
695_chatfield_4,6,0.8938038004523184,0.8449057187450779,5390,AlpineGP
695_chatfield_4,7,0.904405492622076,0.7855783052050869,11964,AlpineGP
695_chatfield_4,8,0.898255138106881,0.8015755382309779,6265,AlpineGP
695_chatfield_4,9,0.8997656127672903,0.8351006131776374,23654,AlpineGP
695_chatfield_4,10,0.8948461041810309,0.8720770515030913,11284,AlpineGP
522_pm10,1,0.3831422406947588,0.1329294947252077,29802,AlpineGP
522_pm10,2,0.3728864510567149,0.2794387678458921,22118,AlpineGP
522_pm10,3,0.412887093422574,0.2949216336882623,860,AlpineGP
522_pm10,4,0.4314842290266989,0.2190074180671756,15795,AlpineGP
522_pm10,5,0.4042125103884816,0.0927975099509464,21575,AlpineGP
522_pm10,6,0.3855760918540405,0.2057683841188955,5390,AlpineGP
522_pm10,7,0.3633425947968075,0.2217504064014176,11964,AlpineGP
522_pm10,8,0.3592317798621496,0.1137019979935446,6265,AlpineGP
522_pm10,9,0.357977372471,0.2014351772522681,23654,AlpineGP
522_pm10,10,0.3465106690052371,0.1857719837939787,11284,AlpineGP
547_no2,1,0.6059180813235618,0.4222362093327596,29802,AlpineGP
547_no2,2,0.6180234650616985,0.4565367574518041,22118,AlpineGP
547_no2,3,0.6119972932644904,0.5294364300620236,860,AlpineGP
547_no2,4,0.6383830412838505,0.4430595257869538,15795,AlpineGP
547_no2,5,0.5669271724505202,0.5983472858624419,21575,AlpineGP
547_no2,6,0.6295008087409713,0.4208286934899669,5390,AlpineGP
547_no2,7,0.6323181049017172,0.3657373229726604,11964,AlpineGP
547_no2,8,0.585193240182996,0.5808025507583374,6265,AlpineGP
547_no2,9,0.585658173076061,0.5544539055988045,23654,AlpineGP
547_no2,10,0.6169308442617647,0.4715628916202377,11284,AlpineGP
229_pwLinear,1,0.8956248226740388,0.831257092642294,29802,AlpineGP
229_pwLinear,2,0.8943704274153137,0.8810760834088766,22118,AlpineGP
229_pwLinear,3,0.9001821527517743,0.8526029017708638,860,AlpineGP
229_pwLinear,4,0.8943450704322652,0.7953574982645648,15795,AlpineGP
229_pwLinear,5,0.897098082579713,0.8692474670784387,21575,AlpineGP
229_pwLinear,6,0.8959896397747447,0.8646602092405107,5390,AlpineGP
229_pwLinear,7,0.909270302010896,0.867338827606763,11964,AlpineGP
229_pwLinear,8,0.8921031733342165,0.8599475811520985,6265,AlpineGP
229_pwLinear,9,0.8961622423366042,0.8941753497780971,23654,AlpineGP
229_pwLinear,10,0.9090209856625724,0.8131031228748091,11284,AlpineGP
666_rmftsa_ladata,1,0.6383021181765729,0.7666626611572139,29802,AlpineGP
666_rmftsa_ladata,2,0.7006585750304642,0.6283535490435306,22118,AlpineGP
666_rmftsa_ladata,3,0.6951754982021376,0.6340332139987159,860,AlpineGP
666_rmftsa_ladata,4,0.6660175992159459,0.7889454410156658,15795,AlpineGP
666_rmftsa_ladata,5,0.6907541907501209,0.6326261513542346,21575,AlpineGP
666_rmftsa_ladata,6,0.6980520130562237,0.7077532470849002,5390,AlpineGP
666_rmftsa_ladata,7,0.6939488855128524,0.5938368125539686,11964,AlpineGP
666_rmftsa_ladata,8,0.6898776543399607,0.6779023450920092,6265,AlpineGP
666_rmftsa_ladata,9,0.7231077495809539,0.6391612074365838,23654,AlpineGP
666_rmftsa_ladata,10,0.7013741812860388,0.524827847699881,11284,AlpineGP
227_cpu_small,1,0.9518392469784892,0.9572903554556688,29802,AlpineGP
227_cpu_small,2,0.9523913578776044,0.9477805711678078,22118,AlpineGP
227_cpu_small,3,0.9496040413746692,0.9520762917724168,860,AlpineGP
227_cpu_small,4,0.9516617598100277,0.9506680609485948,15795,AlpineGP
227_cpu_small,5,0.9354541302672968,0.9335574320822284,21575,AlpineGP
227_cpu_small,6,0.9325171398465196,0.9392481001183528,5390,AlpineGP
227_cpu_small,7,0.9500409230466592,0.9421783818668948,11964,AlpineGP
227_cpu_small,8,0.9559193857287204,0.9593938279962996,6265,AlpineGP
227_cpu_small,9,0.9554975024316632,0.9516104356832096,23654,AlpineGP
227_cpu_small,10,0.955219669013811,0.9465196982135792,11284,AlpineGP
542_pollution,1,0.8940659940649326,0.4872413056570408,29802,AlpineGP
