dataset,trial,r2_train,r2_zero_test,seed,algorithm
678_visualizing_environmental,1,0.5857248542312441,-0.2018731668045827,29802,Flex
678_visualizing_environmental,2,0.5273711807281286,0.374989880688473,22118,Flex
678_visualizing_environmental,3,0.5500907884420256,0.2898711212390378,860,Flex
678_visualizing_environmental,4,0.5581269943758974,0.3384455685220978,15795,Flex
678_visualizing_environmental,5,0.5238891659826808,0.2424967488899688,21575,Flex
678_visualizing_environmental,6,0.563880241095783,-0.240684847722415,5390,Flex
678_visualizing_environmental,7,0.5602138706292616,0.1234905460357171,11964,Flex
678_visualizing_environmental,8,0.5699015614547033,0.0151120924039939,6265,Flex
678_visualizing_environmental,9,0.5618028716533627,0.3316312153645717,23654,Flex
678_visualizing_environmental,10,0.4926571667561947,0.3133326277361801,11284,Flex
706_sleuth_case1202,1,0.8587783201957362,0.5897163467869668,29802,Flex
706_sleuth_case1202,2,0.8763479455125928,-0.6320331520691067,22118,Flex
706_sleuth_case1202,3,0.8736217874333934,0.4650349554332105,860,Flex
706_sleuth_case1202,4,0.8395699240347434,0.6327933145279077,15795,Flex
706_sleuth_case1202,5,0.8418946424008871,0.6461166944607835,21575,Flex
706_sleuth_case1202,6,0.8510003958125502,0.5901481626950038,5390,Flex
706_sleuth_case1202,7,0.8885029637555754,0.0517968678938524,11964,Flex
706_sleuth_case1202,8,0.8618731888377266,0.5327315543645799,6265,Flex
706_sleuth_case1202,9,0.8808185527797827,0.646940569083142,23654,Flex
706_sleuth_case1202,10,0.8610607517519265,0.7659572608281167,11284,Flex
695_chatfield_4,1,0.887316505349044,0.8911938819840798,29802,Flex
695_chatfield_4,2,0.8895284557843308,0.8946494310608272,22118,Flex
695_chatfield_4,3,0.8924338817840333,0.8467597781024898,860,Flex
695_chatfield_4,4,0.9088839482374385,0.8027763528562499,15795,Flex
695_chatfield_4,5,0.8863108003259863,0.8331991913000533,21575,Flex
695_chatfield_4,6,0.8871659711331542,0.8209785889273546,5390,Flex
695_chatfield_4,7,0.9023140797202078,0.8235088034106616,11964,Flex
695_chatfield_4,8,0.8936701873390301,0.8346781456386675,6265,Flex
695_chatfield_4,9,0.9043939723223084,0.8306495749959159,23654,Flex
695_chatfield_4,10,0.8662836355040175,0.9232854883896718,11284,Flex
522_pm10,1,0.3595095230314857,0.1768194934953798,29802,Flex
522_pm10,2,0.296325588465084,0.1727737579239087,22118,Flex
522_pm10,3,0.3660743557922803,0.1460685017375778,860,Flex
522_pm10,4,0.3757309880758583,0.1825873842814507,15795,Flex
522_pm10,5,0.3897283663962553,0.1709193038743374,21575,Flex
522_pm10,6,0.3542420437583661,0.264240942608045,5390,Flex
522_pm10,7,0.311934873358207,0.3356228368723976,11964,Flex
522_pm10,8,0.3815230985000927,0.1834889122820223,6265,Flex
522_pm10,9,0.3512915969878845,0.2394969185511114,23654,Flex
522_pm10,10,0.3561559768432989,0.1983377653069867,11284,Flex
547_no2,1,0.5737439045149243,0.4818306748264842,29802,Flex
547_no2,2,0.5928886113562937,0.4441726643658198,22118,Flex
547_no2,3,0.5844214255408997,0.5881265086758743,860,Flex
547_no2,4,0.6107393245127251,0.4389024991033974,15795,Flex
547_no2,5,0.5336949965360827,0.6142289894236401,21575,Flex
547_no2,6,0.6133812769078324,0.3433465363532894,5390,Flex
547_no2,7,0.6065105034053342,0.4434853066440281,11964,Flex
547_no2,8,0.5441805136874256,0.5440338090922032,6265,Flex
547_no2,9,0.5714519500626364,0.5391280548273186,23654,Flex
547_no2,10,0.5953267347777116,0.4684255682299628,11284,Flex
229_pwLinear,1,0.8710770650133045,0.7635698819103879,29802,Flex
229_pwLinear,2,0.87382277211687,0.8335829369147851,22118,Flex
229_pwLinear,3,0.8711297729712253,0.8925034318172741,860,Flex
229_pwLinear,4,0.8512329044951416,0.8088368815364425,15795,Flex
229_pwLinear,5,0.849605560831606,0.808633109985077,21575,Flex
229_pwLinear,6,0.8565419630960983,0.8144157874465352,5390,Flex
229_pwLinear,7,0.8536113305842636,0.814122253379255,11964,Flex
229_pwLinear,8,0.8671233121231079,0.8261121695862395,6265,Flex
229_pwLinear,9,0.842736697926233,0.7213121776456973,23654,Flex
229_pwLinear,10,0.8826314536064328,0.8167345536344648,11284,Flex
666_rmftsa_ladata,1,0.6413716797858675,0.7882572012691393,29802,Flex
666_rmftsa_ladata,2,0.7100167125540191,0.6642533012944285,22118,Flex
666_rmftsa_ladata,3,0.6927867162892484,0.6197534727983149,860,Flex
666_rmftsa_ladata,4,0.6596259429390596,0.7296030985177164,15795,Flex
666_rmftsa_ladata,5,0.6727929999895907,0.597474543203672,21575,Flex
666_rmftsa_ladata,6,0.6647846703766787,0.5419207006782409,5390,Flex
666_rmftsa_ladata,7,0.6888492279608308,0.6384139063929956,11964,Flex
666_rmftsa_ladata,8,0.6744852059784949,0.734452759095962,6265,Flex
666_rmftsa_ladata,9,0.6928646243220015,0.6197478151959098,23654,Flex
666_rmftsa_ladata,10,0.7016480395790726,0.7205768596624397,11284,Flex
227_cpu_small,1,0.945252823928643,0.9440635546450344,29802,Flex
227_cpu_small,2,0.9515114355216884,0.9480846693003552,22118,Flex
227_cpu_small,3,0.952823616277195,0.9547821120976716,860,Flex
227_cpu_small,4,0.9554790149278444,0.9549160975270105,15795,Flex
227_cpu_small,5,0.9436304144918324,0.9451512486772164,21575,Flex
227_cpu_small,6,0.947762817360982,0.95595256354507,5390,Flex
227_cpu_small,7,0.9534357874278218,0.944271421465898,11964,Flex
227_cpu_small,8,0.948649447438599,0.9505247578732452,6265,Flex
227_cpu_small,9,0.9499609847665302,0.9459358023283594,23654,Flex
227_cpu_small,10,0.9468403156725634,0.9376305745575908,11284,Flex
542_pollution,1,0.8678935046302855,0.2308858290354738,29802,Flex
542_pollution,2,0.8283148644219636,0.1094252335233179,22118,Flex
542_pollution,3,0.8655639961721955,0.1176207927768189,860,Flex
542_pollution,4,0.8066051342111052,0.5894270558432387,15795,Flex
542_pollution,5,0.8224550347434143,0.017581940007318,21575,Flex
542_pollution,6,0.8421501861319547,0.229718018401859,5390,Flex
542_pollution,7,0.8596543037125458,-1.0938710421431734,11964,Flex
542_pollution,8,0.8840533590755449,0.6067617810000436,6265,Flex
542_pollution,9,0.8666623694822897,0.2285368549884889,23654,Flex
542_pollution,10,0.8988941743924582,0.1816020606241011,11284,Flex
210_cloud,1,0.9253330360780548,0.93551658203996,29802,Flex
210_cloud,2,0.9375753301691948,0.8634616290362847,22118,Flex
210_cloud,3,0.9352093698466646,0.6460601328041393,860,Flex
210_cloud,4,0.9396844080361896,0.5554095245743679,15795,Flex
210_cloud,5,0.9429159702421608,0.8926261031743148,21575,Flex
210_cloud,6,0.9466489760699852,0.6917543837937088,5390,Flex
210_cloud,7,0.9493540474831628,0.8993956915528496,11964,Flex
210_cloud,8,0.9373387763504876,0.5956482413901019,6265,Flex
210_cloud,9,0.9367913876204128,0.9245709027859834,23654,Flex
210_cloud,10,0.9525214138855262,0.514230514903525,11284,Flex
523_analcatdata_neavote,1,0.9582300334612134,0.9386714303759216,29802,Flex
523_analcatdata_neavote,2,0.9638237885042876,0.9152095577025342,22118,Flex
523_analcatdata_neavote,3,0.9637411693056734,0.9113743392114462,860,Flex
523_analcatdata_neavote,4,0.9536128203238624,0.9484574869920744,15795,Flex
523_analcatdata_neavote,5,0.9528400818699696,0.9555480753161442,21575,Flex
523_analcatdata_neavote,6,0.9469477274013106,0.9694100916316684,5390,Flex
523_analcatdata_neavote,7,0.9656529293299564,0.9032444495722484,11964,Flex
523_analcatdata_neavote,8,0.9475894369194252,0.8977943324063037,6265,Flex
523_analcatdata_neavote,9,0.9534332217559968,0.9511202894358158,23654,Flex
523_analcatdata_neavote,10,0.9466394799975568,0.9749431974558286,11284,Flex
687_sleuth_ex1605,1,0.8440227723937603,-0.5029616037902422,29802,Flex
687_sleuth_ex1605,2,0.8087565066730217,0.3324095919796862,22118,Flex
687_sleuth_ex1605,3,0.8367256387979327,-0.765854478609838,860,Flex
687_sleuth_ex1605,4,0.8916220194637932,0.1973070297527566,15795,Flex
687_sleuth_ex1605,5,0.8269594542326857,0.388309228117954,21575,Flex
687_sleuth_ex1605,6,0.8374969418411633,0.0337698012605097,5390,Flex
687_sleuth_ex1605,7,0.8178186622445434,0.5532794728366659,11964,Flex
687_sleuth_ex1605,8,0.8441700442288904,0.2264340995299424,6265,Flex
687_sleuth_ex1605,9,0.82780641551969,0.2781462462971903,23654,Flex
687_sleuth_ex1605,10,0.8365472807209064,0.5047319792950413,11284,Flex
712_chscase_geyser1,1,0.7642225308780908,0.8038526091462171,29802,Flex
712_chscase_geyser1,2,0.7937920521858647,0.7503409238802423,22118,Flex
712_chscase_geyser1,3,0.807414492194007,0.7388810805216733,860,Flex
712_chscase_geyser1,4,0.7799127387022465,0.8224163550946024,15795,Flex
712_chscase_geyser1,5,0.8003903788001524,0.7373051288552996,21575,Flex
712_chscase_geyser1,6,0.8182841718791738,0.6265983442763271,5390,Flex
712_chscase_geyser1,7,0.7953958977591418,0.7783976519246402,11964,Flex
712_chscase_geyser1,8,0.8019662324554511,0.7442766952314669,6265,Flex
712_chscase_geyser1,9,0.8140417737709635,0.7260699305324054,23654,Flex
712_chscase_geyser1,10,0.7775883939073486,0.8026924568795464,11284,Flex
505_tecator,1,0.9854549276326078,0.9824194712517073,29802,Flex
505_tecator,2,0.9849708582813944,0.9837334957059548,22118,Flex
505_tecator,3,0.9885770643431684,0.985573850220946,860,Flex
505_tecator,4,0.9908573963267572,0.9856733504693992,15795,Flex
505_tecator,5,0.9887354344574452,0.9916038416706074,21575,Flex
505_tecator,6,0.9872968566143892,0.9834624837755364,5390,Flex
505_tecator,7,0.9844196815322764,0.9913874672147996,11964,Flex
505_tecator,8,0.9894301131797816,0.9873239064917482,6265,Flex
505_tecator,9,0.9897294485354736,0.9897380539516356,23654,Flex
505_tecator,10,0.9885970116497446,0.9918494522465092,11284,Flex
1096_FacultySalaries,1,0.9712212979615744,0.864037158061367,29802,Flex
1096_FacultySalaries,2,0.9621877571623972,0.9242043741176178,22118,Flex
1096_FacultySalaries,3,0.959105291977276,0.7698145873745713,860,Flex
1096_FacultySalaries,4,0.9996757503744214,0.1871531995517552,15795,Flex
1096_FacultySalaries,5,0.947832349329066,0.8661749404095007,21575,Flex
1096_FacultySalaries,6,0.9981737422612984,-0.6885712121152572,5390,Flex
1096_FacultySalaries,7,0.971721310635662,0.9212768383012316,11964,Flex
1096_FacultySalaries,8,0.96740693043961,0.8778662328105108,6265,Flex
1096_FacultySalaries,9,0.9579752530685716,0.9148083918387864,23654,Flex
1096_FacultySalaries,10,0.9598197283529416,0.9430005226677014,11284,Flex
1030_ERA,1,0.3606833160112435,0.4564994537391125,29802,Flex
1030_ERA,2,0.3676379142150375,0.437935325896129,22118,Flex
1030_ERA,3,0.3723414034592853,0.421928192817211,860,Flex
1030_ERA,4,0.3880855998882391,0.3823304188396207,15795,Flex
1030_ERA,5,0.3824541192498957,0.3810550276273456,21575,Flex
1030_ERA,6,0.3938295997575111,0.3711854358612549,5390,Flex
1030_ERA,7,0.3996446617160446,0.3687918451828688,11964,Flex
1030_ERA,8,0.4064414325822308,0.3222910095460003,6265,Flex
1030_ERA,9,0.3937876223276423,0.3492961540107384,23654,Flex
1030_ERA,10,0.4045941104353624,0.3274588275498247,11284,Flex
690_visualizing_galaxy,1,0.9709411218452816,0.97390693693144,29802,Flex
690_visualizing_galaxy,2,0.9662382985295304,0.9546039860329432,22118,Flex
690_visualizing_galaxy,3,0.9730881222429306,0.9622132896269644,860,Flex
690_visualizing_galaxy,4,0.9725563329212644,0.947996019690344,15795,Flex
690_visualizing_galaxy,5,0.964148971089281,0.9599358120017488,21575,Flex
690_visualizing_galaxy,6,0.9710489711885898,0.9765270450026688,5390,Flex
690_visualizing_galaxy,7,0.968136499105804,0.9723222108153182,11964,Flex
690_visualizing_galaxy,8,0.9694067774036284,0.96274798157116,6265,Flex
690_visualizing_galaxy,9,0.9724026146315412,0.9648675435515746,23654,Flex
690_visualizing_galaxy,10,0.9692467855991131,0.959917111405544,11284,Flex
225_puma8NH,1,0.6733605646231035,0.6637714844282854,29802,Flex
225_puma8NH,2,0.6650197405941708,0.6829925142350739,22118,Flex
225_puma8NH,3,0.6604994467165547,0.6573515302386304,860,Flex
225_puma8NH,4,0.6615126545184367,0.6585803988372414,15795,Flex
225_puma8NH,5,0.6610086379241045,0.6801306107848148,21575,Flex
225_puma8NH,6,0.6795480358866473,0.6980526167450362,5390,Flex
225_puma8NH,7,0.6757570004138492,0.6656002533872697,11964,Flex
225_puma8NH,8,0.6643031989338619,0.6605565993633855,6265,Flex
225_puma8NH,9,0.6806372319598161,0.6657500873654305,23654,Flex
225_puma8NH,10,0.6722929128849096,0.6600235934907435,11284,Flex
1028_SWD,1,0.4216621460572087,0.397831013450979,29802,Flex
1028_SWD,2,0.4508904792229781,0.2533663657502876,22118,Flex
1028_SWD,3,0.4122373251087723,0.3919260041935309,860,Flex
1028_SWD,4,0.4252909570690742,0.3262196874624489,15795,Flex
1028_SWD,5,0.4300998506725336,0.3032646340350408,21575,Flex
1028_SWD,6,0.4297781844362378,0.3143698837212827,5390,Flex
1028_SWD,7,0.4289196528446526,0.2848770617474686,11964,Flex
1028_SWD,8,0.4451579149646196,0.2678947079436411,6265,Flex
1028_SWD,9,0.4089836102008753,0.3787207774446182,23654,Flex
1028_SWD,10,0.4328735790536081,0.3380597416567136,11284,Flex
228_elusage,1,0.913036743857889,0.4844659627679371,29802,Flex
228_elusage,2,0.9029256898492988,0.6606246806718274,22118,Flex
228_elusage,3,0.900813575074348,0.8172047137361842,860,Flex
228_elusage,4,0.8712009639172235,0.660020621535002,15795,Flex
228_elusage,5,0.8892316993847391,0.8594590772672592,21575,Flex
228_elusage,6,0.9010074771409176,0.2804887548250259,5390,Flex
228_elusage,7,0.8954690008408073,0.8244597428209003,11964,Flex
228_elusage,8,0.8975610782637006,0.7885361133590749,6265,Flex
228_elusage,9,0.90394947584001,0.7852444561790533,23654,Flex
228_elusage,10,0.9372847775905364,0.3849388154621831,11284,Flex
529_pollen,1,0.7936416714066329,0.7762755533706269,29802,Flex
529_pollen,2,0.796441760348724,0.785822276260983,22118,Flex
529_pollen,3,0.7991947939416362,0.7785509246582917,860,Flex
529_pollen,4,0.7932467920271663,0.7961042759808408,15795,Flex
529_pollen,5,0.7842935305604609,0.8036993537176774,21575,Flex
529_pollen,6,0.7939167974013728,0.7750304204729883,5390,Flex
529_pollen,7,0.7986415668983129,0.7788932490920035,11964,Flex
529_pollen,8,0.7929956829937825,0.7969014129131707,6265,Flex
529_pollen,9,0.7930964536245204,0.7764647903980023,23654,Flex
529_pollen,10,0.7903534660577021,0.8044480932738134,11284,Flex
557_analcatdata_apnea1,1,0.865490816112154,0.917797881729553,29802,Flex
557_analcatdata_apnea1,2,0.8821681960599573,0.8771803641403154,22118,Flex
557_analcatdata_apnea1,3,0.8803424207986585,0.9035750235863638,860,Flex
557_analcatdata_apnea1,4,0.8776269755093449,0.8626429889137452,15795,Flex
557_analcatdata_apnea1,5,0.8997354066843934,0.7773038621276183,21575,Flex
557_analcatdata_apnea1,6,0.8805664426309493,0.4580999368021972,5390,Flex
557_analcatdata_apnea1,7,0.8901225425910771,0.9141606289682596,11964,Flex
557_analcatdata_apnea1,8,0.9029190718652336,0.8261959001534491,6265,Flex
557_analcatdata_apnea1,9,0.8905708265121858,0.7596024927330874,23654,Flex
557_analcatdata_apnea1,10,0.8923948014357753,0.8567071664728939,11284,Flex
560_bodyfat,1,0.9926090250585604,0.9831141151014712,29802,Flex
560_bodyfat,2,0.9882256126124428,0.970229647577702,22118,Flex
560_bodyfat,3,0.9886261660307908,0.9974023339777566,860,Flex
560_bodyfat,4,0.9957579398664244,0.9804584742646996,15795,Flex
560_bodyfat,5,0.9893975608541692,-0.2714515892127391,21575,Flex
560_bodyfat,6,0.9899166344722226,0.9967436369616384,5390,Flex
560_bodyfat,7,0.9919424204403268,0.9353916963623212,11964,Flex
560_bodyfat,8,0.9895356723186862,0.9993368049948652,6265,Flex
560_bodyfat,9,0.9872771130926166,0.997023206727296,23654,Flex
560_bodyfat,10,0.9895261381634576,0.9959820891685376,11284,Flex
485_analcatdata_vehicle,1,0.9618782186759702,-0.2377611644485953,29802,Flex
485_analcatdata_vehicle,2,0.912018333170658,0.9010813049952784,22118,Flex
485_analcatdata_vehicle,3,0.9480716933079189,0.0008324422790779,860,Flex
485_analcatdata_vehicle,4,0.9266742016486564,-0.8676653499307077,15795,Flex
485_analcatdata_vehicle,5,0.9075889845320784,0.6162974111661448,21575,Flex
485_analcatdata_vehicle,6,0.9615053754891888,-0.1710699923556755,5390,Flex
485_analcatdata_vehicle,7,0.9364572763265656,0.4365465472993498,11964,Flex
485_analcatdata_vehicle,8,0.9257859070984196,-0.2330190837206605,6265,Flex
485_analcatdata_vehicle,9,0.8862620051964769,0.6853332454886936,23654,Flex
485_analcatdata_vehicle,10,0.93058359505909,0.5930330360091021,11284,Flex
659_sleuth_ex1714,1,0.950555797467504,0.7887560799211916,29802,Flex
659_sleuth_ex1714,2,0.9574832856206428,0.5520873308336625,22118,Flex
659_sleuth_ex1714,3,0.9520864025503152,0.5718350527666551,860,Flex
659_sleuth_ex1714,4,0.9502979571121516,0.2077977608228395,15795,Flex
659_sleuth_ex1714,5,0.9445305372894798,0.8977741907275347,21575,Flex
659_sleuth_ex1714,6,0.9672255365817488,0.6459450068233622,5390,Flex
659_sleuth_ex1714,7,0.9542781765334476,0.4014090681984417,11964,Flex
659_sleuth_ex1714,8,0.9612786314388624,0.6088451818971583,6265,Flex
659_sleuth_ex1714,9,0.9744404616580568,-0.2304360178029538,23654,Flex
659_sleuth_ex1714,10,0.9509232078288752,0.6744864726167672,11284,Flex
527_analcatdata_election2000,1,0.999144300466917,0.9992466998761258,29802,Flex
